epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,154616,1.00671,1.47495,1.67196,0.74575,0.73674,0.7714,0.53028,1.13373,1.03894,2.02294,0.000797333,0.000797333,0.000797333
115,155598,1.00821,1.46786,1.66612,0.76104,0.71157,0.77622,0.5343,1.11624,1.04138,1.96756,0.000781979,0.000781979,0.000781979
116,156745,1.00613,1.44512,1.66318,0.76341,0.72154,0.78042,0.53467,1.11737,1.03902,1.97546,0.000766678,0.000766678,0.000766678
117,158054,1.00292,1.44997,1.66017,0.71933,0.76871,0.77872,0.53809,1.12343,1.04742,1.96311,0.000751435,0.000751435,0.000751435
118,159450,0.99764,1.42765,1.66434,0.71806,0.76428,0.77575,0.53905,1.12284,1.05133,1.95836,0.000736253,0.000736253,0.000736253
119,160812,0.99945,1.43526,1.6527,0.75001,0.71583,0.77811,0.53866,1.12816,1.0499,1.97462,0.000721137,0.000721137,0.000721137
120,162218,0.98386,1.42144,1.6475,0.74399,0.73214,0.77531,0.53776,1.11048,1.04526,1.96173,0.000706089,0.000706089,0.000706089
121,163288,0.98802,1.43682,1.64844,0.75166,0.72096,0.77235,0.53679,1.10997,1.03887,1.96433,0.000691114,0.000691114,0.000691114
122,164422,0.98481,1.40911,1.65254,0.70284,0.75281,0.76207,0.53076,1.12714,1.03514,1.97677,0.000676215,0.000676215,0.000676215
123,165634,0.99805,1.43385,1.65666,0.74027,0.71776,0.76483,0.53023,1.11326,1.04774,1.96277,0.000661396,0.000661396,0.000661396
124,166852,0.98862,1.41458,1.65316,0.73643,0.71992,0.76907,0.53471,1.10829,1.04836,1.95867,0.000646661,0.000646661,0.000646661
125,168230,0.9856,1.41643,1.64661,0.74091,0.71272,0.76183,0.53366,1.10653,1.0556,1.95638,0.000632012,0.000632012,0.000632012
126,169571,0.98106,1.4027,1.64219,0.73383,0.72741,0.76802,0.53545,1.1084,1.04134,1.96074,0.000617455,0.000617455,0.000617455
127,170783,0.97729,1.37364,1.63488,0.72433,0.74725,0.77058,0.53591,1.12136,1.03905,1.96394,0.000602992,0.000602992,0.000602992
128,172165,0.98071,1.41238,1.64037,0.76156,0.72509,0.77494,0.53355,1.11982,1.03766,1.95967,0.000588627,0.000588627,0.000588627
129,173441,0.97812,1.39937,1.64151,0.75462,0.70058,0.7603,0.52438,1.12143,1.03351,1.9679,0.000574363,0.000574363,0.000574363
130,174846,0.98091,1.39628,1.6436,0.7139,0.74304,0.76619,0.52944,1.12179,1.02506,1.97164,0.000560205,0.000560205,0.000560205
131,176213,0.97121,1.37092,1.62343,0.73295,0.73732,0.76908,0.52958,1.11272,1.02993,1.96559,0.000546155,0.000546155,0.000546155
132,177701,0.96678,1.37588,1.63043,0.71598,0.7595,0.77138,0.53085,1.11259,1.03972,1.97281,0.000532217,0.000532217,0.000532217
133,178943,0.96654,1.36468,1.63432,0.71874,0.74552,0.76889,0.53224,1.1133,1.03435,1.97772,0.000518395,0.000518395,0.000518395
134,180476,0.96885,1.36151,1.62776,0.75209,0.72671,0.76956,0.53227,1.116,1.02751,1.98496,0.000504691,0.000504691,0.000504691
135,181795,0.97,1.36953,1.6304,0.7529,0.71937,0.76791,0.53209,1.12689,1.02549,1.99804,0.000491109,0.000491109,0.000491109
136,182869,0.96926,1.36971,1.62842,0.73951,0.73782,0.77268,0.53096,1.12565,1.02394,1.99659,0.000477654,0.000477654,0.000477654
137,184000,0.96638,1.3651,1.6243,0.71644,0.7411,0.76406,0.52942,1.12447,1.02667,2.00081,0.000464327,0.000464327,0.000464327
138,185500,0.96328,1.35724,1.62224,0.7078,0.75223,0.76668,0.53184,1.12114,1.02647,1.98872,0.000451132,0.000451132,0.000451132
